10/07/2023	CASH	0,08	30/06/2023	11/07/2023	25/07/2023
06/03/2023	CASH	0,08	10/02/2023	07/03/2023	25/04/2023
14/12/2022	CASH	0,08	30/11/2022	15/12/2022	25/01/2023
26/09/2022	CASH	0,08	09/09/2022	27/09/2022	25/10/2022
27/06/2022	CASH	0,08	17/06/2022	28/06/2022	25/07/2022
07/03/2022	CASH	0,08	11/02/2022	08/03/2022	25/04/2022
20/12/2021	CASH	0,08	10/12/2021	21/12/2021	25/01/2022
24/09/2021	CASH	0,08	10/09/2021	27/09/2021	25/10/2021
25/06/2021	CASH	0,01	19/06/2021	28/06/2021	26/07/2021
05/03/2021	CASH	0,01	12/02/2021	08/03/2021	26/04/2021
18/12/2020	CASH	0,01	11/12/2020	21/12/2020	25/01/2021
25/09/2020	CASH	0,01	03/09/2020	28/09/2020	26/10/2020
26/06/2020	CASH	0,01	19/06/2020	29/06/2020	27/07/2020
06/03/2020	CASH	0,01	14/02/2020	09/03/2020	27/04/2020
20/12/2019	CASH	0,01	07/12/2019	23/12/2019	27/01/2020
13/09/2019	CASH	0,01	09/09/2019	16/09/2019	25/10/2019
28/06/2019	CASH	0,01	22/06/2019	01/07/2019	25/07/2019
08/03/2019	CASH	0,01	18/02/2019	11/03/2019	25/04/2019
26/02/2019	CASH/STOCK	0,420281	10/10/2018	14/02/2019	25/02/2019
19/12/2018	CASH	0,01	08/12/2018	20/12/2018	25/01/2019
14/09/2018	CASH	0,12	08/09/2018	17/09/2018	25/10/2018
15/06/2018	CASH	0,12	08/06/2018	18/06/2018	25/07/2018
23/02/2018	CASH	0,12	09/02/2018	26/02/2018	25/04/2018
26/12/2017	CASH	0,12	08/12/2017	27/12/2017	25/01/2018
15/09/2017	CASH	0,24	07/09/2017	18/09/2017	25/10/2017
15/06/2017	CASH	0,24	09/06/2017	19/06/2017	25/07/2017
23/02/2017	CASH	0,24	10/02/2017	27/02/2017	25/04/2017
22/12/2016	CASH	0,24	09/12/2016	27/12/2016	25/01/2017
15/09/2016	CASH	0,23	09/09/2016	19/09/2016	25/10/2016
16/06/2016	CASH	0,23	10/06/2016	20/06/2016	25/07/2016
25/02/2016	CASH	0,23	12/02/2016	29/02/2016	25/04/2016
17/12/2015	CASH	0,23	11/12/2015	21/12/2015	25/01/2016
17/09/2015	CASH	0,23	11/09/2015	21/09/2015	26/10/2015
18/06/2015	CASH	0,23	05/06/2015	22/06/2015	27/07/2015
19/02/2015	CASH	0,23	06/02/2015	23/02/2015	27/04/2015
18/12/2014	CASH	0,23	12/12/2014	22/12/2014	26/01/2015
18/09/2014	CASH	0,22	05/09/2014	22/09/2014	27/10/2014
19/06/2014	CASH	0,22	06/06/2014	23/06/2014	25/07/2014
20/02/2014	CASH	0,22	07/02/2014	24/02/2014	25/04/2014
19/12/2013	CASH	0,22	13/12/2013	23/12/2013	27/01/2014
19/09/2013	CASH	0,19	13/09/2013	23/09/2013	25/10/2013
20/06/2013	CASH	0,19	14/06/2013	24/06/2013	25/07/2013
21/02/2013	CASH	0,19	15/02/2013	25/02/2013	25/04/2013
20/12/2012	CASH	0,19	14/12/2012	24/12/2012	25/01/2013
20/09/2012	CASH	0,17	07/09/2012	24/09/2012	25/10/2012
21/06/2012	CASH	0,17	08/06/2012	25/06/2012	25/07/2012
23/02/2012	CASH	0,17	10/02/2012	27/02/2012	25/04/2012
22/12/2011	CASH	0,17	09/12/2011	27/12/2011	25/01/2012
15/09/2011	CASH	0,15	02/09/2011	19/09/2011	25/10/2011
16/06/2011	CASH	0,15	21/04/2011	20/06/2011	25/07/2011
24/02/2011	CASH	0,14	11/02/2011	28/02/2011	25/04/2011
22/12/2010	CASH	0,14	10/12/2010	27/12/2010	25/01/2011
16/09/2010	CASH	0,12	23/07/2010	20/09/2010	25/10/2010
17/06/2010	CASH	0,10	11/06/2010	21/06/2010	26/07/2010
25/02/2010	CASH	0,10	12/02/2010	01/03/2010	26/04/2010
23/12/2009	CASH	0,10	15/12/2009	28/12/2009	25/01/2010
17/09/2009	CASH	0,10	04/09/2009	21/09/2009	26/10/2009
18/06/2009	CASH	0,10	12/06/2009	22/06/2009	27/07/2009
19/02/2009	CASH	0,31	06/02/2009	23/02/2009	27/04/2009
24/12/2008	CASH	0,31	16/12/2008	29/12/2008	26/01/2009
18/09/2008	CASH	0,31	22/08/2008	22/09/2008	27/10/2008
19/06/2008	CASH	0,31	06/06/2008	23/06/2008	25/07/2008
21/02/2008	CASH	0,31	08/02/2008	25/02/2008	25/04/2008
20/12/2007	CASH	0,31	11/12/2007	24/12/2007	25/01/2008
20/09/2007	CASH	0,28	07/09/2007	24/09/2007	25/10/2007
21/06/2007	CASH	0,28	08/06/2007	25/06/2007	25/07/2007
22/02/2007	CASH	0,28	09/02/2007	26/02/2007	25/04/2007
21/12/2006	CASH	0,28	12/12/2006	26/12/2006	25/01/2007
21/09/2006	CASH	0,25	08/09/2006	25/09/2006	25/10/2006
22/06/2006	CASH	0,25	09/06/2006	26/06/2006	25/07/2006
22/09/2005	CASH	0,22	16/09/2005	26/09/2005	25/10/2005
23/06/2005	CASH	0,22	10/06/2005	27/06/2005	25/07/2005
24/02/2005	CASH	0,22	11/02/2005	28/02/2005	25/04/2005
22/12/2004	CASH	0,22	10/12/2004	27/12/2004	25/01/2005
23/09/2004	CASH	0,20	17/09/2004	27/09/2004	25/10/2004
24/06/2004	CASH	0,20	11/06/2004	28/06/2004	26/07/2004
26/02/2004	CASH	0,20	13/02/2004	01/03/2004	26/04/2004
29/12/2003	CASH	0,20	12/12/2003	31/12/2003	26/01/2004
25/09/2003	CASH	0,19	12/09/2003	29/09/2003	27/10/2003
26/06/2003	CASH	0,19	13/06/2003	30/06/2003	25/07/2003
26/02/2003	CASH	0,19	14/02/2003	28/02/2003	25/04/2003
27/12/2002	CASH	0,19	13/12/2002	31/12/2002	27/01/2003
25/09/2002	CASH	0,18	13/09/2002	27/09/2002	25/10/2002
26/06/2002	CASH	0,18	14/06/2002	28/06/2002	25/07/2002
27/02/2002	CASH	0,18	15/02/2002	01/03/2002	25/04/2002
27/12/2001	CASH	0,18	14/12/2001	31/12/2001	25/01/2002
26/09/2001	CASH	0,16	07/09/2001	28/09/2001	25/10/2001
05/07/2001	CASH	0,16	22/06/2001	09/07/2001	25/07/2001
05/03/2001	CASH	0,16	09/02/2001	07/03/2001	25/04/2001
27/12/2000	CASH	0,16	15/12/2000	29/12/2000	25/01/2001
29/09/2000	CASH	0,1366667	22/09/2000	03/10/2000	25/10/2000
05/07/2000	CASH	0,1366667	23/06/2000	07/07/2000	25/07/2000
06/03/2000	CASH	0,41	11/02/2000	08/03/2000	25/04/2000
22/12/1999	CASH	0,41	17/12/1999	27/12/1999	25/01/2000
28/09/1999	CASH	0,35	10/09/1999	30/09/1999	25/10/1999
06/07/1999	CASH	0,35	17/06/1999	08/07/1999	26/07/1999
04/03/1999	CASH	0,35	12/02/1999	08/03/1999	26/04/1999
29/12/1998	CASH	0,35	18/12/1998	31/12/1998	25/01/1999
28/09/1998	CASH	0,30	11/09/1998	30/09/1998	26/10/1998
06/07/1998	CASH	0,30	26/06/1998	08/07/1998	27/07/1998
05/03/1998	CASH	0,30	13/02/1998	09/03/1998	27/04/1998
29/12/1997	CASH	0,30	19/12/1997	31/12/1997	26/01/1998
26/09/1997	CASH	0,26	12/09/1997	30/09/1997	27/10/1997
02/07/1997	CASH	0,26	27/06/1997	07/07/1997	25/07/1997
04/03/1997	CASH	0,52	07/02/1997	06/03/1997	25/04/1997
27/12/1996	CASH	0,52	19/12/1996	31/12/1996	27/01/1997
26/09/1996	CASH	0,46	13/09/1996	30/09/1996	25/10/1996
01/07/1996	CASH	0,46	21/06/1996	03/07/1996	25/07/1996
04/03/1996	CASH	0,46	09/02/1996	06/03/1996	25/04/1996
27/12/1995	CASH	0,46	15/12/1995	29/12/1995	25/01/1996
27/09/1995	CASH	0,41	14/09/1995	29/09/1995	25/10/1995
30/06/1995	CASH	0,41	23/06/1995	05/07/1995	25/07/1995